hour,status,error_count
0,404,432
0,403,12
0,501,4
1,404,434
1,403,3
2,404,430
2,403,33
2,500,2
3,404,474
3,403,12
4,404,344
4,403,24
5,404,327
5,403,5
6,404,600
6,403,18
7,404,363
7,403,1
8,404,183
8,403,2
9,404,160
9,403,7
10,404,135
11,404,218
11,403,5
12,404,340
12,403,1
13,404,359
13,403,2
13,501,2
14,404,492
14,403,1
14,501,1
15,404,428
15,403,6
16,404,651
16,501,2
17,404,614
17,403,2
17,501,2
18,404,521
18,501,2
18,403,2
19,404,549
19,501,7
20,404,550
20,403,30
20,501,2
21,404,584
21,501,1
22,404,425
22,403,5
22,500,1
23,404,439
23,501,4
