date,total_requests,avg_response_size,max_response_size
1995-08-01,33996,15570.12,1269716
1995-08-03,33023,17125.24,3421948
1995-08-04,60953,18875.76,3155499
1995-08-05,32395,19111.64,1269716
1995-08-06,32302,19449.19,3155499
1995-08-07,56407,17133.91,3155499
1995-08-08,57845,17647.31,1925120
1995-08-09,61745,16153.46,1943014
1995-08-10,61271,17106.36,1269716
1995-08-11,62399,17770.39,3155499
1995-08-12,36899,17843.76,1269716
1995-08-13,37072,19320.97,3155499
1995-08-14,59275,18422.64,1269716
1995-08-15,60197,17280.19,1269716
1995-08-16,55676,17947.3,3155499
1995-08-17,59208,17788.83,3155499
1995-08-18,57356,16076.83,1269716
1995-08-19,32757,17954.73,1269716
1995-08-20,32341,18805.6,1969293
1995-08-21,55285,16548.77,3155499
1995-08-22,57259,16134.15,3155499
1995-08-23,58555,16390.46,3155499
1995-08-24,52115,15629.66,1269716
1995-08-25,57304,16871.35,1769472
1995-08-26,32157,17923.61,1269716
1995-08-27,31839,18234.01,1269716
1995-08-28,55213,15542.56,2220032
1995-08-29,66462,15695.28,1269716
1995-08-30,76519,16012.61,1269716
1995-08-31,93506,15674.95,3155499
1995-09-01,10553,17732.8,1269716
