url,avg_response_size,request_count
/shuttle/missions/sts-67/sounds/DurranceST.wav,1188908.0,1
/shuttle/missions/sts-71/movies/sts-71-launch.mpg HTTP/1.0 ,1121554.0,1
/statistics/1995/Jul/Jul95_reverse_domains.html,1053511.3846153845,13
/shuttle/missions/sts-26/movies/sts-26-launch.mpg,1043093.0,2
/shuttle/missions/sts-71/movies/sts-71-mir-dock.mpg HTTP/V1.0,946425.0,1
/shuttle/missions/sts-53/movies/sts-53-launch.mpg,896360.1469387755,490
/msfc/crew/parise.wav,861740.0,1
/shuttle/missions/sts-70/movies/sts-70-crew-arrival.mpg,844691.2708333334,48
/statistics/1995/bkup/Mar95_full.html,820121.1568627451,102
/shuttle/missions/sts-70/movies/sts-70-launch-press.mpg,801631.2151898735,158
/shuttle/missions/sts-70/movies/sts-70-landing.mpg,796567.8157894737,114
/shuttle/missions/sts-69/movies/sts-69-crew-arrival.mpg,783932.0344827586,116
/shuttle/missions/sts-71/movies/sts-71-landing.mpg,779671.1219512195,287
/shuttle/missions/sts-71/movies/sts-71-hatch-hand-group.mpg,761138.9181818182,110
/shuttle/missions/sts-71/movies/sts-71-launch.mpg,759675.8405931419,2158
/shuttle/missions/sts-71/movies/sts-71-mir-dock.mpg,726169.4941176471,425
/shuttle/missions/sts-67/sounds/JerniganTE.wav,710461.0,3
/shuttle/missions/sts-69/movies/sts-69-rollback.mpg,702411.8449931412,729
/shuttle/missions/sts-70/movies/sts-70-crew-walkout.mpg,702032.5531914893,47
/shuttle/missions/sts-61/movies/hub1.mpg,692697.0,5
