host,url,size
163.205.156.16,/statistics/1995/Jul/Jul95_reverse_domains.html,3421948
sets12.sprl.umich.edu,/statistics/1995/bkup/Mar95_full.html,3155499
igate.nrc.gov,/statistics/1995/bkup/Mar95_full.html,3155499
grumpy.ksc.nasa.gov,/statistics/1995/bkup/Mar95_full.html,3155499
cliffy.lfwc.lockheed.com,/statistics/1995/bkup/Mar95_full.html,3155499
piweba1y.prodigy.com,/statistics/1995/bkup/Mar95_full.html,3155499
lace.cs.bgu.ac.il,/statistics/1995/bkup/Mar95_full.html,3155499
133.55.2.210,/statistics/1995/bkup/Mar95_full.html,3155499
magicall.dacom.co.kr,/statistics/1995/bkup/Mar95_full.html,3155499
163.206.89.4,/statistics/1995/bkup/Mar95_full.html,3155499
m33-222-1.mit.edu,/statistics/1995/bkup/Mar95_full.html,3155499
titan.oit.umass.edu,/statistics/1995/bkup/Mar95_full.html,3155499
tmp.inet.it,/statistics/1995/bkup/Mar95_full.html,3155499
intergate.rbuhsd.k12.ca.us,/statistics/1995/bkup/Mar95_full.html,3155499
152.163.192.66,/statistics/1995/bkup/Mar95_full.html,3155499
www-c5.proxy.aol.com,/statistics/1995/bkup/Mar95_full.html,3155499
slip144-219.ut.nl.ibm.net,/statistics/1995/bkup/Mar95_full.html,3155499
141.102.40.36,/statistics/1995/bkup/Mar95_full.html,3155499
www-b2.proxy.aol.com,/statistics/1995/bkup/Mar95_full.html,3155499
128.159.144.102,/statistics/1995/bkup/Mar95_full.html,2981888
