date,total_requests
1995-08-01,33996
1995-08-03,33023
1995-08-04,60953
1995-08-05,32395
1995-08-06,32302
1995-08-07,56407
1995-08-08,57845
1995-08-09,61745
1995-08-10,61271
1995-08-11,62401
1995-08-12,36899
1995-08-13,37072
1995-08-14,59275
1995-08-15,60197
1995-08-16,55676
1995-08-17,59208
1995-08-18,57356
1995-08-19,32757
1995-08-20,32341
1995-08-21,55285
1995-08-22,57260
1995-08-23,58555
1995-08-24,52115
1995-08-25,57304
1995-08-26,32157
1995-08-27,31839
1995-08-28,55213
1995-08-29,66462
1995-08-30,76520
1995-08-31,93506
1995-09-01,10553
